OFF_BY_COMPANY,CAR_NAME ,Transmission _Type,KM_DIVEN_BY,OWNER_TYPE,FUEL_TYPE,EMI,SELLING_PRICE,DOWNPAYMENT,TOTAL_PRICE
"₹44,000 OFF",2018 Mahindra Thar,Manual,"52,001 km",1st Owner,Diesel,"₹18,603/month","₹ 8,36,299.00",Zero downpayment,"₹ 8,80,299.00"
"₹33,000 OFF",2016 Maruti S Cross,Manual,"67,158 km",1st Owner,Diesel,"₹13,700/month","₹ 6,15,899.00",Zero downpayment,"₹ 6,48,899.00"
"₹50,000 OFF",2016 Maruti Vitara Brezza,Manual,"21,675 km",1st Owner,Diesel,"₹15,693/month","₹ 7,05,499.00",Zero downpayment,"₹ 7,55,499.00"
"₹38,000 OFF",2016 Maruti Vitara Brezza,Manual,"34,879 km",1st Owner,Diesel,"₹15,713/month","₹ 7,06,399.00",Zero downpayment,"₹ 7,44,399.00"
"₹5,000 OFF",2016 Mercedes Benz E Class,Manual,"19,041 km",2nd Owner,Petrol,"₹51,654/month","₹ 23,22,099.00",Zero downpayment,"₹ 23,27,099.00"
"₹25,000 OFF",2016 Maruti Vitara Brezza,Manual,"70,555 km",2nd Owner,Diesel,"₹14,704/month","₹ 6,60,999.00",Zero downpayment,"₹ 6,85,999.00"
"₹5,000 OFF",2015 Toyota Fortuner,Automatic,"96,350 km",2nd Owner,Diesel,"₹35,104/month","₹ 15,78,099.00",Zero downpayment,"₹ 15,83,099.00"
"₹23,000 OFF",2017 Maruti Ciaz,Manual,"66,396 km",2nd Owner,Diesel,"₹13,618/month","₹ 6,12,199.00",Zero downpayment,"₹ 6,35,199.00"
"₹31,000 OFF",2015 Maruti Ciaz,,"83,645 km",1st Owner,Diesel,"₹12,806/month","₹ 5,75,699.00",Zero downpayment,"₹ 6,06,699.00"
"₹5,000 OFF",2018 Hyundai Tucson New,Automatic,"58,368 km",1st Owner,Diesel,"₹43,428/month","₹ 19,52,299.00",Zero downpayment,"₹ 19,57,299.00"
"₹23,000 OFF",2014 Ford Ecosport,Manual,"1,02,117 km",1st Owner,Diesel,"₹9,603/month","₹ 4,31,699.00",Zero downpayment,"₹ 4,54,699.00"
"₹21,000 OFF",2014 Volkswagen Polo,Manual,"64,271 km",1st Owner,Petrol,"₹8,633/month","₹ 3,88,099.00",Zero downpayment,"₹ 4,09,099.00"
"₹10,000 OFF",2018 Ford Ecosport,Manual,"52,134 km",2nd Owner,Diesel,"₹14,646/month","₹ 6,58,399.00",Zero downpayment,"₹ 6,68,399.00"
"₹34,000 OFF",2020 Hyundai Creta,,"28,022 km",1st Owner,Diesel,"₹31,698/month","₹ 14,24,999.00",Zero downpayment,"₹ 14,58,999.00"
"₹5,000 OFF",2018 Toyota Fortuner,Automatic,"38,394 km",1st Owner,Diesel,"₹63,819/month","₹ 28,68,999.00",Zero downpayment,"₹ 28,73,999.00"
"₹50,000 OFF",2016 Hyundai Creta,,"54,233 km",1st Owner,Diesel,"₹22,411/month","₹ 10,07,499.00",Zero downpayment,"₹ 10,57,499.00"
